趣味
スポーツ
スポーツ観戦
音楽鑑賞
楽器演奏
映画鑑賞
テレビ鑑賞
読書
写真撮影
絵画やイラスト
手芸・クラフト
料理・お菓子作り
ガーデニング
旅行
ハイキング・登山
フィットネス・エクササイズ
ヨガ・ピラティス
ダンス
カラオケ
ビデオゲーム
ボードゲーム・カードゲーム
コレクション（切手、古銭、模型など）
釣り
キャンプ・アウトドア活動
天体観測
昆虫採集・バードウォッチング
DIY・日曜大工
茶道・華道
書道
コスプレ・アニメ・漫画
ワイン・コーヒー・グルメ
